,Donor ID,Project ID,Donation Amount,Donor City,Project Title,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree
798,86075dc2a6381ab0d6f9063f6cca956a,f29ed6b99557ec22aab7b4ac9e4ea3af,40.0,Oakland,Projects Fuel Reading,Teacher-Led,Supplies,"History & Civics, Literacy & Language","History & Geography, Literature & Writing"
3130,362b5bc411017ff378294d197e54c848,052ee297e7c8604656667d747184a4c1,50.0,Oakland,Tumbling Mats for the Trojan Team!,Teacher-Led,Flexible Seating,Health & Sports,Team Sports
3872,18bc6cc8d443c694f1560f61e079eb6c,049b6eb456210c545c2b415b1bf12309,47.87,Oakland,Particle Accelerator Tour,Teacher-Led,Trips,Math & Science,"Applied Sciences, Mathematics"
4795,03b836043f37a7677864b1b13c881937,0c655f534bae00cfffa5d9194d50f9d1,75.0,Oakland,Art in Every Content Area,Teacher-Led,Supplies,Music & The Arts,Visual Arts
4970,050ca01e8687f60ced5ab5cbfcd24aa2,0e703e23e38a788f50a40fac0eedb6ac,10.0,Oakland,Ohlone History: A Native Perspective ,Teacher-Led,Visitors,History & Civics,"History & Geography, Social Sciences"
4972,4eb5ad4b15522de41de6e86e8f65e853,0e703e23e38a788f50a40fac0eedb6ac,25.0,Oakland,Ohlone History: A Native Perspective ,Teacher-Led,Visitors,History & Civics,"History & Geography, Social Sciences"
4976,660bd11d5d326d265244c640b499744b,0e703e23e38a788f50a40fac0eedb6ac,50.0,Oakland,Ohlone History: A Native Perspective ,Teacher-Led,Visitors,History & Civics,"History & Geography, Social Sciences"
4977,8cbf63123808e3b7426b67d7db9c937b,0e703e23e38a788f50a40fac0eedb6ac,25.0,Oakland,Ohlone History: A Native Perspective ,Teacher-Led,Visitors,History & Civics,"History & Geography, Social Sciences"
4979,9d100af87235c3bc1faeb17cc8758b26,0e703e23e38a788f50a40fac0eedb6ac,50.0,Oakland,Ohlone History: A Native Perspective ,Teacher-Led,Visitors,History & Civics,"History & Geography, Social Sciences"
5635,eabdb5d1da791a0c1fceba7e17098d8d,133a1521d1bc77229a01a229e27d116a,43.96,Oakland,Help Keep Us Bright-Eyed and Bushy Tailed!,Teacher-Led,Supplies,Health & Sports,"Health & Wellness, Nutrition Education"
