,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree,projtype_id
3130,Teacher-Led,Flexible Seating,Health & Sports,Team Sports,0
4979,Teacher-Led,Visitors,History & Civics,"History & Geography, Social Sciences",1
13847,Teacher-Led,Visitors,"Applied Learning, History & Civics","Community Service, History & Geography",2
19270,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics",3
21802,Teacher-Led,Supplies,Health & Sports,Nutrition Education,4
28237,Teacher-Led,Trips,"History & Civics, Math & Science","History & Geography, Mathematics",5
57517,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Character Education, Literature & Writing",6
66748,Teacher-Led,Visitors,"History & Civics, Music & The Arts","History & Geography, Music",7
82344,Teacher-Led,Technology,"Applied Learning, Music & The Arts","Community Service, Music",8
95969,Teacher-Led,"Food, Clothing & Hygiene",Health & Sports,Team Sports,9
102912,Teacher-Led,Supplies,"Math & Science, Health & Sports","Health & Life Science, Nutrition Education",10
107807,Teacher-Led,Classroom Basics,Applied Learning,Character Education,11
111037,Professional Development,Trips,"Math & Science, Special Needs","Applied Sciences, Special Needs",12
170763,Teacher-Led,Flexible Seating,"History & Civics, Literacy & Language","History & Geography, Literacy",13
178991,Teacher-Led,Art Supplies,"Warmth, Care & Hunger","Warmth, Care & Hunger",14
198479,Teacher-Led,"Reading Nooks, Desks & Storage",Applied Learning,"College & Career Prep, Early Development",15
216740,Teacher-Led,Computers & Tablets,"Math & Science, Special Needs","Applied Sciences, Special Needs",16
303403,Professional Development,Books,"History & Civics, Literacy & Language","Financial Literacy, Literacy",17
318559,Teacher-Led,Art Supplies,"Applied Learning, Math & Science","College & Career Prep, Mathematics",18
318620,Teacher-Led,Educational Kits & Games,"Math & Science, Applied Learning","Applied Sciences, Extracurricular",19
348967,Teacher-Led,Trips,"Applied Learning, Literacy & Language","Community Service, Foreign Languages",20
381190,Teacher-Led,Lab Equipment,"Literacy & Language, Math & Science","Literacy, Mathematics",21
391387,Teacher-Led,Technology,"Applied Learning, Math & Science","Extracurricular, Health & Life Science",22
398675,Teacher-Led,Computers & Tablets,Math & Science,"Environmental Science, Mathematics",23
406268,Teacher-Led,Trips,Music & The Arts,"Performing Arts, Visual Arts",24
451467,Teacher-Led,Computers & Tablets,"Math & Science, Literacy & Language","Environmental Science, Literature & Writing",25
501256,Teacher-Led,Books,"Math & Science, Applied Learning","Applied Sciences, Character Education",26
508470,Teacher-Led,Supplies,"Literacy & Language, Health & Sports","Foreign Languages, Nutrition Education",27
513879,Teacher-Led,Books,"History & Civics, Special Needs","Financial Literacy, Special Needs",28
528252,Teacher-Led,Technology,"Health & Sports, Music & The Arts","Health & Wellness, Visual Arts",29
528856,Teacher-Led,Supplies,"Health & Sports, Applied Learning","Gym & Fitness, Other",30
530193,Teacher-Led,Classroom Basics,Music & The Arts,Visual Arts,31
541543,Teacher-Led,Technology,"History & Civics, Math & Science","Civics & Government, Mathematics",32
545573,Teacher-Led,Classroom Basics,"History & Civics, Music & The Arts","History & Geography, Performing Arts",33
567733,Teacher-Led,Classroom Basics,Health & Sports,"Health & Wellness, Nutrition Education",34
589819,Professional Development,Trips,"Applied Learning, Health & Sports","Early Development, Health & Wellness",35
598741,Professional Development,Trips,"Math & Science, History & Civics","Applied Sciences, History & Geography",36
605208,Teacher-Led,Visitors,"Health & Sports, Special Needs","Health & Wellness, Special Needs",37
612562,Student-Led,Technology,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",38
617378,Teacher-Led,Books,"History & Civics, Music & The Arts","History & Geography, Visual Arts",39
628587,Teacher-Led,Lab Equipment,"Math & Science, Special Needs","Environmental Science, Special Needs",40
630376,Teacher-Led,Other,"Applied Learning, Literacy & Language","Character Education, Literacy",41
631158,Student-Led,Technology,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",42
633959,Teacher-Led,Technology,Applied Learning,Parent Involvement,43
634913,Teacher-Led,Supplies,"Applied Learning, History & Civics","Other, Social Sciences",44
642541,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, Community Service",45
645304,Teacher-Led,Instructional Technology,Literacy & Language,"ESL, Literature & Writing",46
653892,Teacher-Led,Books,"Health & Sports, Math & Science","Health & Wellness, Mathematics",47
654172,Teacher-Led,Supplies,Applied Learning,"Character Education, Community Service",48
681766,Teacher-Led,Supplies,"Literacy & Language, Warmth, Care & Hunger","Literacy, Warmth, Care & Hunger",49
691600,Professional Development,Trips,"Math & Science, Literacy & Language","Applied Sciences, Literacy",50
721812,Student-Led,Books,"Warmth, Care & Hunger","Warmth, Care & Hunger",51
741914,Teacher-Led,Technology,"Applied Learning, History & Civics","Extracurricular, History & Geography",52
741915,Teacher-Led,Technology,"Music & The Arts, History & Civics","Performing Arts, Social Sciences",53
742581,Teacher-Led,Trips,"Applied Learning, Math & Science","College & Career Prep, Environmental Science",54
749793,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Character Education, Music",55
750134,Teacher-Led,Books,"Applied Learning, History & Civics","Character Education, Social Sciences",56
751027,Teacher-Led,Other,"Applied Learning, Health & Sports","College & Career Prep, Health & Wellness",57
767471,Teacher-Led,"Reading Nooks, Desks & Storage",Math & Science,Applied Sciences,58
795859,Teacher-Led,Visitors,"Literacy & Language, Music & The Arts","Literacy, Music",59
798144,Teacher-Led,Technology,"Music & The Arts, Special Needs","Music, Special Needs",60
